"n","m","rep_id","beta","SCP"
5000,20,6,3,0.98
5000,20,6,4,0
5000,20,6,5,0.014
5000,20,6,6,0.0304
5000,20,6,7,0.004
5000,20,6,8,0
5000,20,6,9,0
5000,20,6,10,0
5000,20,6,11,0
5000,20,6,12,0
5000,20,6,13,0
5000,20,6,14,0.01
5000,20,6,15,0
5000,20,6,16,0.0248
5000,20,6,17,0
5000,20,6,18,0.0136
5000,20,6,19,0.0288
5000,20,6,20,0.0396
5000,20,7,1,0.9724
5000,20,7,2,0.9252
5000,20,7,3,0.9728
5000,20,7,4,0.0396
5000,20,7,5,0
5000,20,7,6,0
5000,20,7,7,0.0204
5000,20,7,8,0
5000,20,7,9,0
5000,20,7,10,0.0248
5000,20,7,11,0
5000,20,7,12,0.0036
5000,20,7,13,0
5000,20,7,14,0
5000,20,7,15,0.0184
5000,20,7,16,0.1336
5000,20,7,17,0
5000,20,7,18,0
5000,20,7,19,0.0276
5000,20,7,20,0.0624
5000,20,8,1,0.9752
5000,20,8,2,0.9256
5000,20,8,3,0.9788
5000,20,8,4,0
5000,20,8,5,0
5000,20,8,6,0
5000,20,8,7,0.0048
5000,20,8,8,0
5000,20,8,9,0.0236
5000,20,8,10,0.068
5000,20,8,11,0.0216
5000,20,8,12,0.002
5000,20,8,13,0.0084
5000,20,8,14,0
5000,20,8,15,0.0312
5000,20,8,16,0.0028
5000,20,8,17,0.0016
5000,20,8,18,0.0232
5000,20,8,19,0
5000,20,8,20,0
5000,20,9,1,0.9816
5000,20,9,2,0.9264
5000,20,9,3,0.9728
5000,20,9,4,0
5000,20,9,5,0
5000,20,9,6,0.0956
5000,20,9,7,0
5000,20,9,8,0.0512
5000,20,9,9,0.1044
5000,20,9,10,0
5000,20,9,11,0.0664
5000,20,9,12,4e-04
5000,20,9,13,0.0056
5000,20,9,14,0
5000,20,9,15,0.0012
5000,20,9,16,0.0016
5000,20,9,17,0.0036
5000,20,9,18,0.0384
5000,20,9,19,0
5000,20,9,20,0.008
5000,20,10,1,0.9784
5000,20,10,2,0.93
5000,20,10,3,0.9808
5000,20,10,4,0.0452
5000,20,10,5,0.0116
5000,20,10,6,0.014
5000,20,10,7,0.062
5000,20,10,8,0.0468
5000,20,10,9,0
5000,20,10,10,0.104
5000,20,10,11,0.1168
5000,20,10,12,0
5000,20,10,13,0.0176
5000,20,10,14,0
5000,20,10,15,0.006
5000,20,10,16,4e-04
5000,20,10,17,0.0032
5000,20,10,18,0
5000,20,10,19,0.0252
5000,20,10,20,0.15
10000,5,1,1,0.9896
10000,5,1,2,0.9404
10000,5,1,3,0.9872
10000,5,1,4,0.004
10000,5,1,5,0.0116
10000,5,2,1,0.9884
10000,5,2,2,0.9408
10000,5,2,3,0.9944
10000,5,2,4,0.052
10000,5,2,5,0.004
10000,5,3,1,0.9876
10000,5,3,2,0.9392
10000,5,3,3,0.9876
10000,5,3,4,0.0184
10000,5,3,5,0
10000,5,4,1,0.9864
10000,5,4,2,0.9416
10000,5,4,3,0.9832
10000,5,4,4,0.0488
10000,5,4,5,8e-04
10000,5,5,1,0.986
10000,5,5,2,0.9388
10000,5,5,3,0.9876
10000,5,5,4,0.014
10000,5,5,5,0.0068
10000,5,6,1,0.9888
10000,5,6,2,0.9448
10000,5,6,3,0.9848
10000,5,6,4,0.014
10000,5,6,5,0.1068
10000,5,7,1,0.9884
10000,5,7,2,0.9408
10000,5,7,3,0.9928
10000,5,7,4,0.0244
10000,5,7,5,0.04
10000,5,8,1,0.9888
10000,5,8,2,0.9456
10000,5,8,3,0.9928
10000,5,8,4,0.058
10000,5,8,5,0
10000,5,9,1,0.9884
10000,5,9,2,0.9424
10000,5,9,3,0.9868
10000,5,9,4,0.1
10000,5,9,5,0.0316
10000,5,10,1,0.9884
10000,5,10,2,0.942
10000,5,10,3,0.99
10000,5,10,4,0.0116
10000,5,10,5,0.034
10000,10,1,1,0.9892
10000,10,1,2,0.944
10000,10,1,3,0.9884
10000,10,1,4,0.0212
10000,10,1,5,0.0692
10000,10,1,6,0.0796
10000,10,1,7,0.0248
10000,10,1,8,0.0068
10000,10,1,9,0.0036
10000,10,1,10,0.0176
10000,10,2,1,0.9856
10000,10,2,2,0.9372
10000,10,2,3,0.9904
10000,10,2,4,0
10000,10,2,5,0.0364
10000,10,2,6,0.0204
10000,10,2,7,0.0484
10000,10,2,8,0
10000,10,2,9,0
10000,10,2,10,0.0508
10000,10,3,1,0.986
10000,10,3,2,0.9456
10000,10,3,3,0.9816
10000,10,3,4,0.0084
10000,10,3,5,0
10000,10,3,6,0.0852
10000,10,3,7,0.12
10000,10,3,8,0.0528
10000,10,3,9,0.0188
10000,10,3,10,0.0228
10000,10,4,1,0.9868
10000,10,4,2,0.9324
10000,10,4,3,0.9868
10000,10,4,4,0.0476
10000,10,4,5,0
10000,10,4,6,0.052
10000,10,4,7,0
10000,10,4,8,0.0252
10000,10,4,9,0.0192
10000,10,4,10,0.0276
10000,10,5,1,0.9812
10000,10,5,2,0.9408
10000,10,5,3,0.9828
10000,10,5,4,0.0408
