"n","m","rep_id","seed","Method","MSPE","Coverage","MSE_1","MSE_0"
1000,20,9,505,"MGWR",0.700032368860566,NA,1.54334558224049,0.246195742479627
1000,20,10,606,"BSGL",0.126734105630081,0.995,0.222239554236866,0.0402115688543064
1000,20,10,606,"GGP-GAM",0.0971168469263419,NA,0.0677423818268477,0.0135389621539531
1000,20,10,606,"GSVC",0.186369835037278,0.98,0.153639206878166,0.15380061866639
1000,20,10,606,"MGWR",0.40793719132911,NA,0.815277027381028,0.0564706953818273
5000,5,1,42,"BSGL",0.110733979628026,0.97,0.0314514946023701,0.0191717113141894
5000,5,1,42,"GGP-GAM",0.1067055713298,NA,0.026201935761977,0.00243666898215394
5000,5,1,42,"GSVC",0.111803352143174,0.951,0.0246634427392993,0.0275265212720304
5000,5,1,42,"MGWR",0.15922479207621,NA,0.256990091340764,0.00117751969659093
5000,5,2,123,"BSGL",0.117405607055287,0.966,0.0313274444551688,0.0339200350480125
5000,5,2,123,"GGP-GAM",0.115134165236765,NA,0.028706480237631,0.0159110324123122
5000,5,2,123,"GSVC",0.119622842869762,0.93,0.0295111449513798,0.0519776603251745
5000,5,2,123,"MGWR",0.177098088271748,NA,0.214811705287399,0.0248073581537813
5000,5,3,456,"BSGL",0.104530312213007,0.981,0.0363502210378911,0.0148058603465513
5000,5,3,456,"GGP-GAM",0.110952073903171,NA,0.0329032225743612,0.00264196170070256
5000,5,3,456,"GSVC",0.102717647020741,0.962,0.0299861401703752,0.0222846438606979
5000,5,3,456,"MGWR",0.174491134611682,NA,0.240294060786508,0.000665315409139843
5000,5,4,789,"BSGL",0.112591628315388,0.968,0.0377518970433185,0.00991271339601932
5000,5,4,789,"GGP-GAM",0.108749492438356,NA,0.0294781389562557,0.000699384244108551
5000,5,4,789,"GSVC",0.111708791431175,0.943,0.0241955182806319,0.0145458921340613
5000,5,4,789,"MGWR",0.160809229943358,NA,0.217877817692748,0.000534576264840965
5000,5,5,101,"BSGL",0.104279029361824,0.972,0.0427659076515673,0.0152417250457191
5000,5,5,101,"GGP-GAM",0.105237564167019,NA,0.037199026625544,0.00380472361145808
5000,5,5,101,"GSVC",0.103872140418944,0.953,0.033898664020944,0.0239437551146457
5000,5,5,101,"MGWR",0.158980797672096,NA,0.228628577432077,0.007993569162686
5000,5,6,202,"BSGL",0.113826618842781,0.971,0.0319620220325354,0.0192522127098421
5000,5,6,202,"GGP-GAM",0.116732230741874,NA,0.028160913509804,0.00638553467635681
5000,5,6,202,"GSVC",0.113552105565001,0.95,0.0244768480627001,0.0284486451178235
5000,5,6,202,"MGWR",0.175212883132837,NA,0.212578152199376,0.00961595439424674
5000,5,7,303,"BSGL",0.0997833264343512,0.985,0.0241110937872282,0.0152937159960132
5000,5,7,303,"GGP-GAM",0.106626285578761,NA,0.0212202800211089,0.00304813231108117
5000,5,7,303,"GSVC",0.100923991531732,0.974,0.0199726749364371,0.0264685919019292
5000,5,7,303,"MGWR",0.175395927142963,NA,0.225454664543442,0.00406177984856912
